work_id,label
bachjs-bwv1001-bwv-1001-1-bwv-1001-1,german_contrapuntal
bachjs-bwv1001-bwv-1001-2-bwv-1001-2,german_contrapuntal
bachjs-bwv1001-bwv-1001-3-bwv-1001-3,german_contrapuntal
bachjs-bwv1001-bwv-1001-4-bwv-1001-4,german_contrapuntal
bachjs-bwv1002-partita-1-lys-1-cello,german_contrapuntal
bachjs-bwv1002-partita-1-lys-1-viola,german_contrapuntal
bachjs-bwv1002-partita-1-lys-1-violin,german_contrapuntal
bachjs-bwv1002-partita-1-lys-2-cello,german_contrapuntal
bachjs-bwv1002-partita-1-lys-2-viola,german_contrapuntal
bachjs-bwv1002-partita-1-lys-2-violin,german_contrapuntal
bachjs-bwv1002-partita-1-lys-3-cello,german_contrapuntal
bachjs-bwv1002-partita-1-lys-3-viola,german_contrapuntal
bachjs-bwv1002-partita-1-lys-3-violin,german_contrapuntal
bachjs-bwv1002-partita-1-lys-4-cello,german_contrapuntal
bachjs-bwv1002-partita-1-lys-4-viola,german_contrapuntal
bachjs-bwv1002-partita-1-lys-4-violin,german_contrapuntal
bachjs-bwv1002-partita-1-lys-5-cello,german_contrapuntal
bachjs-bwv1002-partita-1-lys-5-viola,german_contrapuntal
bachjs-bwv1002-partita-1-lys-5-violin,german_contrapuntal
bachjs-bwv1002-partita-1-lys-6-cello,german_contrapuntal
bachjs-bwv1002-partita-1-lys-6-viola,german_contrapuntal
bachjs-bwv1002-partita-1-lys-6-violin,german_contrapuntal
bachjs-bwv1002-partita-1-lys-7-cello,german_contrapuntal
bachjs-bwv1002-partita-1-lys-7-viola,german_contrapuntal
bachjs-bwv1002-partita-1-lys-7-violin,german_contrapuntal
bachjs-bwv1002-partita-1-lys-8-cello,german_contrapuntal
bachjs-bwv1002-partita-1-lys-8-viola,german_contrapuntal
bachjs-bwv1002-partita-1-lys-8-violin,german_contrapuntal
bachjs-bwv1003-bwv-1003-1-bwv-1003-1,german_contrapuntal
bachjs-bwv1003-bwv-1003-2-bwv-1003-2,german_contrapuntal
bachjs-bwv1003-bwv-1003-3-bwv-1003-3,german_contrapuntal
bachjs-bwv1003-bwv-1003-4-bwv-1003-4,german_contrapuntal
bachjs-bwv1004-bwv-1004-1-bwv-1004-1,german_contrapuntal
bachjs-bwv1004-bwv-1004-2-bwv-1004-2,german_contrapuntal
bachjs-bwv1004-bwv-1004-3-sarabanda-bwv-1004-3-sarabanda,german_contrapuntal
bachjs-bwv1004-bwv-1004-4-giga-bwv-1004-4-giga,german_contrapuntal
bachjs-bwv1004-bwv-1004-5-bwv-1004-5,german_contrapuntal
bachjs-bwv1005-bwv-1005-1-bwv-1005-1,german_contrapuntal
bachjs-bwv1005-bwv-1005-2-bwv-1005-2,german_contrapuntal
bachjs-bwv1005-bwv-1005-3-bwv-1005-3,german_contrapuntal
bachjs-bwv1005-bwv-1005-4-bwv-1005-4,german_contrapuntal
bachjs-bwv1006-bwv-1006-1-bwv-1006-1,german_contrapuntal
bachjs-bwv1006-bwv-1006-2-bwv-1006-2,german_contrapuntal
bachjs-bwv1006-bwv-1006-3-bwv-1006-3,german_contrapuntal
bachjs-bwv1006-bwv-1006-4-bwv-1006-4,german_contrapuntal
bachjs-bwv1006-bwv-1006-5-bwv-1006-5,german_contrapuntal
bachjs-bwv1006-bwv-1006-6-bwv-1006-6,german_contrapuntal
bachjs-bwv1006-bwv-1006-7-bwv-1006-7,german_contrapuntal
bachjs-bwv1006a-bwv-1006a-1-bwv-1006a-1,german_contrapuntal
bachjs-bwv1006a-bwv-1006a-1g-bwv-1006a-1g,german_contrapuntal
bachjs-bwv1006a-bwv-1006a-2-bwv-1006a-2,german_contrapuntal
bachjs-bwv1006a-bwv-1006a-2g-bwv-1006a-2g,german_contrapuntal
bachjs-bwv1006a-bwv-1006a-3-bwv-1006a-3,german_contrapuntal
bachjs-bwv1006a-bwv-1006a-3g-bwv-1006a-3g,german_contrapuntal
bachjs-bwv1006a-bwv-1006a-4-bwv-1006a-4,german_contrapuntal
bachjs-bwv1006a-bwv-1006a-4g-bwv-1006a-4g,german_contrapuntal
bachjs-bwv1006a-bwv-1006a-5-bwv-1006a-5,german_contrapuntal
bachjs-bwv1006a-bwv-1006a-5g-bwv-1006a-5g,german_contrapuntal
bachjs-bwv1006a-bwv-1006a-6-bwv-1006a-6,german_contrapuntal
bachjs-bwv1006a-bwv-1006a-6g-bwv-1006a-6g,german_contrapuntal
bachjs-bwv1006a-bwv-1006a-7-bwv-1006a-7,german_contrapuntal
bachjs-bwv1006a-bwv-1006a-7g-bwv-1006a-7g,german_contrapuntal
bachjs-bwv1007-bwv1007-lys-bwv1007-viola,german_contrapuntal
bachjs-bwv1007-bwv1007-lys-bwv1007,german_contrapuntal
bachjs-bwv1008-bwv1008-lys-bwv1008-viola,german_contrapuntal
bachjs-bwv1008-bwv1008-lys-bwv1008,german_contrapuntal
bachjs-bwv1009-cellosuite3-lys-bwv1009-viola,german_contrapuntal
bachjs-bwv1009-cellosuite3-lys-cellosuite3,german_contrapuntal
bachjs-bwv1010-bwv1010-lys-bwv1010-viola,german_contrapuntal
bachjs-bwv1010-bwv1010-lys-bwv1010,german_contrapuntal
bachjs-bwv1011-bwv1011-lys-bwv1011-viola-original,german_contrapuntal
bachjs-bwv1011-bwv1011-lys-bwv1011,german_contrapuntal
bachjs-bwv1011-bwv1011-transposed-lys-bwv1011-viola-transposed,german_contrapuntal
bachjs-bwv1011-bwv1011-transposed-lys-bwv1011-transposed,german_contrapuntal
bachjs-bwv1012-bwv-1012-1-bwv-1012-1,german_contrapuntal
bachjs-bwv1012-bwv-1012-2-bwv-1012-2,german_contrapuntal
bachjs-bwv1012-bwv-1012-3-bwv-1012-3,german_contrapuntal
bachjs-bwv1012-bwv-1012-4-bwv-1012-4,german_contrapuntal
bachjs-bwv1012-bwv-1012-5-1-bwv-1012-5-1,german_contrapuntal
bachjs-bwv1012-bwv-1012-5-2-bwv-1012-5-2,german_contrapuntal
bachjs-bwv1012-bwv-1012-6-bwv-1012-6,german_contrapuntal
bachjs-bwv1012-bwv1012-transposed-lys-bwv1012-viola,german_contrapuntal
bachjs-bwv1012-bwv1012-transposed-lys-bwv1012-transposed,german_contrapuntal
bachjs-bwv846-wtk1-fugue1-wtk1-fugue1,german_contrapuntal
bachjs-bwv846-wtk1-prelude1-wtk1-prelude1,german_contrapuntal
bachjs-bwv847-bwv847a-bwv847a,german_contrapuntal
bachjs-bwv847-fuga2-fuga2,german_contrapuntal
bachjs-bwv848-bwv848a-bwv848a,german_contrapuntal
bachjs-bwv848-bwv848b-bwv848b,german_contrapuntal
bachjs-bwv849-bwv849a-bwv849a,german_contrapuntal
bachjs-bwv849-bwv849b-bwv849b,german_contrapuntal
bachjs-bwv850-bwv850a-lys-bwv850a,german_contrapuntal
bachjs-bwv850-bwv850b-lys-bwv850b,german_contrapuntal
bachjs-bwv851-bwv851-fugue06-bwv851-fugue06,german_contrapuntal
bachjs-bwv851-bwv851a-bwv851a,german_contrapuntal
bachjs-bwv853-bwv853a-bwv853a,german_contrapuntal
bachjs-bwv853-bwv853b-bwv853b,german_contrapuntal
bachjs-bwv854-bwv854-praeludium-ix-rh-bwv854-praeludium-ix-rh,german_contrapuntal
bachjs-bwv855-bwv855a-bwv855a,german_contrapuntal
bachjs-bwv855-bwv855b-bwv855b,german_contrapuntal
bachjs-bwv856-bwv856-fugue11-bwv856-fugue11,german_contrapuntal
bachjs-bwv856-bwv856-praeludium11-bwv856-praeludium11,german_contrapuntal
bachjs-bwv857-bwv857-fuga12-bwv857-fuga12,german_contrapuntal
bachjs-bwv857-bwv857-praeludium12-bwv857-praeludium12,german_contrapuntal
bachjs-bwv860-bwv860-fuga15-bwv860-fuga15,german_contrapuntal
bachjs-bwv860-bwv860-praeludium15-bwv860-praeludium15,german_contrapuntal
bachjs-bwv861-bwv861-fuga16-bwv861-fuga16,german_contrapuntal
bachjs-bwv861-bwv861-praeludium16-bwv861-praeludium16,german_contrapuntal
bachjs-bwv862-bach-fugue17-bach-fugue17,german_contrapuntal
bachjs-bwv862-bach-prelude17-bach-prelude17,german_contrapuntal
bachjs-bwv865-bwv865-fuga20-bwv865-fuga20,german_contrapuntal
bachjs-bwv865-bwv865-praeludium20-bwv865-praeludium20,german_contrapuntal
bachjs-bwv869-bwv869-praeludium24-bwv869-praeludium24,german_contrapuntal
bachjs-bwv869-bwv869b-lys-bwv869b,german_contrapuntal
bachjs-bwv870-wtk2fuga1-wtk2fuga1,german_contrapuntal
bachjs-bwv870-wtk2prelude1-wtk2prelude1,german_contrapuntal
bachjs-bwv871-wtk2-fugue2-wtk2-fugue2,german_contrapuntal
bachjs-bwv871-wtk2-prelude2-wtk2-prelude2,german_contrapuntal
bachjs-bwv875-bwv875a-bwv875a,german_contrapuntal
bachjs-bwv878-f9-f9,german_contrapuntal
bachjs-bwv878-spiritus-domini-bach-spiritus-domini-bach,german_contrapuntal
beethovenlv-o111-lvb-sonate-111-1-lys-lvb-sonate-111-1,german_contrapuntal
beethovenlv-o13-pathetique-2-pathetique-2,german_contrapuntal
beethovenlv-o13-pathetique-2-guitar-duo-pathetique-2-guitar-duo,german_contrapuntal
beethovenlv-o13-pathetique-3-pathetique-3,german_contrapuntal
beethovenlv-o137-fuge-opus137-lys-fuge-opus137,german_contrapuntal
beethovenlv-o27-moonlight-lys-moonlight1-a4,german_contrapuntal
beethovenlv-o27-moonlight-lys-moonlight1-let,german_contrapuntal
beethovenlv-o27-moonlight-lys-moonlight2-a4,german_contrapuntal
beethovenlv-o27-moonlight-lys-moonlight2-let,german_contrapuntal
chopinff-o10-chopin-op-10-09-wfi-chopin-op-10-09-wfi,polish_romantic
chopinff-o10-op-10-12-wfi-op-10-12-wfi,polish_romantic
chopinff-o25-chopin-op-25-01-chopin-op-25-01,polish_romantic
chopinff-o28-chop-28-1-chop-28-1,polish_romantic
chopinff-o28-chop-28-10-chop-28-10,polish_romantic
chopinff-o28-chop-28-11-chop-28-11,polish_romantic
chopinff-o28-chop-28-12-chop-28-12,polish_romantic
chopinff-o28-chop-28-14-chop-28-14,polish_romantic
chopinff-o28-chop-28-15-lys-chopin-prelude-op28-no15,polish_romantic
chopinff-o28-chop-28-16-chop-28-16,polish_romantic
chopinff-o28-chop-28-17-lys-chop-28-17,polish_romantic
chopinff-o28-chop-28-18-chop-28-18,polish_romantic
chopinff-o28-chop-28-19-chop-28-19,polish_romantic
chopinff-o28-chop-28-20-chop-28-20,polish_romantic
chopinff-o28-chop-28-21-chop-28-21,polish_romantic
chopinff-o28-chop-28-22-chop-28-22,polish_romantic
chopinff-o28-chop-28-23-chop-28-23,polish_romantic
chopinff-o28-chop-28-24-chop-28-24,polish_romantic
chopinff-o28-chop-28-3-chop-28-3,polish_romantic
chopinff-o28-chop-28-4-chop-28-4,polish_romantic
chopinff-o28-chop-28-5-chop-28-5,polish_romantic
chopinff-o28-chop-28-6-lys-chopin-prelude-op28-no6,polish_romantic
chopinff-o28-chop-28-7-lys-chopin-prelude-op28-no7,polish_romantic
chopinff-o28-chop-28-8-chop-28-8,polish_romantic
chopinff-o28-chop-28-9-chop-28-9,polish_romantic
chopinff-o45-chopin-prelude-op45-chopin-prelude-op45,polish_romantic
dvoraka-o4-dvorak-o4-lys-piano,czech_nationalist
dvoraka-o4-dvorak-o4-lys-violin,czech_nationalist
dvoraka-o96-parts-00-dvorakamericanquartet-conducteur-mvt2,czech_nationalist
dvoraka-o96-parts-00-dvorakamericanquartet-conducteur-mvt3,czech_nationalist
dvoraka-o96-parts-00-dvorakamericanquartet-conducteur-mvt4,czech_nationalist
dvoraka-o96-parts-00-dvorakamericanquartet-voix1,czech_nationalist
dvoraka-o96-parts-00-dvorakamericanquartet-voix2,czech_nationalist
dvoraka-o96-parts-00-dvorakamericanquartet-voix4,czech_nationalist
mozartwa-aveverumm-aveverumm-aveverumm,german_contrapuntal
mozartwa-kv525-parts-mozartwa-kv525-midi,german_contrapuntal
mozartwa-kv622-mozartk622-lys-midi-1,german_contrapuntal
mozartwa-kv622-mozartk622-lys-midi-2,german_contrapuntal
mozartwa-kv622-mozartk622-lys-midi-3,german_contrapuntal
vivaldia-o8-autumn-lys-autumn-score,italian_operatic
vivaldia-o8-summer-lys-summer-score,italian_operatic
beethovenlv-o13-pathetique-1-pathetique-1,german_contrapuntal
beethovenlv-o27-moonlight-lys-moonlight3-let,german_contrapuntal
beethovenlv-o27-moonlight-lys-moonlight3-a4,german_contrapuntal
dvoraka-o4-dvorak-o4-lys-score,czech_nationalist
dvoraka-o96-parts-00-dvorakamericanquartet-conducteur-mvt1,czech_nationalist
dvoraka-o96-dvorak-o96-lys-dvorak-o96,czech_nationalist
dvoraka-o96-parts-00-dvorakamericanquartet-voix3,czech_nationalist
mozartwa-kv626-dies-irae-lys-score,german_contrapuntal
